name,description,start,end,raised
Golem (GNT),A decentralized supercomputer. Their first target market is animation rendering.,11-Nov-16,11-Nov-16,"$8,596,000 "
Komodo (KMD),A privacy-focused coin with Zcash technology and a new delayed Proof-of-work consensus method.,15-Oct-16,20-Nov-16,"$1,983,000 "
Ark (ARK),A Lisk-forked cryptocurrency that will support cross blockchain communication.,07-Nov-16,11-Dec-16,"$1,000,000 "
vDice (vSlice),vDice is an Ethereum-based gambling platform in the spirit and style of SatoshiDICE.,15-Nov-16,15-Dec-16,"$1,647,000 "
Wings (WINGS),"A platform for planning, launching, and managing DAOs using the wisdom of prediction markets.",18-Nov-16,06-Jan-17,"$2,074,000 "
Dfinity (DFN),A decentralized computing cloud with native smart contracts and a distributed intelligence DAO.,11-Feb-17,12-Feb-17,"$3,750,000 "
Chronobank (LH),A platform for people to buy and sell labor. Labor Hour tokens (LH) are backed by people-hours.,15-Dec-16,14-Feb-17,"$5,400,000 "
Melon (MLN),Distributed digital asset management (a la hedge funds) on the Ethereum blockchain.,15-Feb-17,15-Feb-17,"$2,900,000 "
Lykke (Lykke),Lykke is a crypto-asset exchange platform built on top of the Bitcoin network.,09-Feb-17,28-Feb-17,"$1,973,554.46 "
Augmentors (DBT),An augmented reality creature fighting game built on the Bitcoin network.,31-Jan-17,01-Mar-17,"$1,087,000 "
Qtum (QTUM),"A proof-of-stake, smart-contract compatible protocol that works with both Ethereum and Bitcoin dapps.",16-Mar-17,21-Mar-17,"$15,434,476 "
Joberr (JOBERR),Update: website and devs unresponsive. Scam investigation in progress on bitcointalk. A decentralized market place for tasks and services build on Ethereum.,12-Mar-17,26-Mar-17,"$23,449 "
Chain of Points (POINTS),An Ethereum-based platform for creating and managing loyalty rewards programs.,26-Feb-17,31-Mar-17,--
Matchpool (GUP),a decentralized matchmaking and dating protocol build on Ethereum.,02-Apr-17,03-Apr-17,"$5,625,000 "
Aeternity (XAE),A smart contract platform that stores contracts off chain to increase efficiency. Aeternity uses a native oracle machine to read off chain data.,03-Apr-17,06-Apr-17,--
Cosmos Network (ATOM),"a network of interoperable ledgers to accommodate any asset, any blockchain, and any programming language.",06-Apr-17,06-Apr-17,"$16,800,000 "
MetaGold (MEG),An Ethereum meta-token used to make purchases in an in-game economy.,03-Apr-17,08-Apr-17,Refunded
Blockchain Capital (BCAP),Tokenized Blockchain venture capital fund.,10-Apr-17,10-Apr-17,--
WeTrust (TRST),Increasing financial inclusion by bringing new types of banking services into the mainstream.,02-Mar-17,12-Apr-17,"$4,662,000 "
Rchain (RCOIN),A multilayer tech stack featuring a new Turing complete smart contract programming language.,05-Apr-17,16-Apr-17,N/A
IEX.EC (RLC),A blockchain-based distributed cloud computing platform built on Ethereum.,19-Apr-17,19-Apr-17,"$12,120,000 "
Gnosis (GNO),An accessible prediction market platform enabling the free flow of useful information.,24-Apr-17,24-Apr-17,"$12,250,000 "
Humaniq (HMQ),"A blockchain fintech service that aims to expand financial inclusion with bio-identification and mobile technology. Note: The totals listed here do not include roughly $300,000 in fiat currency raised during a brief pre-sale.",06-Apr-17,27-Apr-17,--
TaaS (TAAS),TaaS is a tokenized closed-end fund dedicated to blockchain markets.,27-Mar-17,27-Apr-17,--
Back to Earth (SRC),Immersive entertainment that can be enhanced by spending cryptographic tokens.,26-Apr-17,28-Apr-17,"$971,250 "
Lunyr (LUN),A decentralized encyclopedia built on Ethereum with a for-profit business model and rewards for users who create or edit content.,29-Mar-17,28-Apr-17,--
Apptrade (APPX),A marketplace for investing in app portfolio funds.,28-Feb-17,30-Apr-17,--
Creativechain (CREA),A platform for the registration and distribution of user generated multimedia content.,15-Mar-17,01-May-17,--
TokenCard (TKN),Physical debit card that uses a contract wallet to hold ethereum based tokens without the need for deposits.,02-May-17,02-May-17,"$12,700,000 "
Quantum Resistant Ledger(QRL),A blockchain designed for long-term stability with quantum computing resistant encryption. This is a pre-sale round.,01-May-17,07-May-17,"$2,808,000 "
Nexxus (NXX),A services company for the cryptocurrency industry that aims to encourage widespread adoption with physical cryptocurrency cafes and education programs.,08-May-17,08-May-17,Canceled
BOScoin (BOS),A platform for the creation of smart contracts with a democratic DAO governance model.,09-May-17,10-May-17,--
Ethbits (ETB),An platform for digital p2p and face to face exchange of cyrpto and fiat currencies.,15-Apr-17,15-May-17,--
Legends Room (LGD),VIP membership in a Las Vegas gentleman's club.,18-Apr-17,15-May-17,--
Peerplays (PEERPLAYS),a decentralized tournament management and wagering platform built on a graphene-based blockchain.,26-Feb-17,15-May-17,--
Sikoba (SKO),Sikoba is a decentralized money platform based on peer-to-peer IOUs,25-Apr-17,15-May-17,--
Aragon (ANT),Create and manage decentralized organizations in a decentralized jurisdiction.,17-May-17,17-May-17,"$24,750,000 "
BitcoinGrowthFund (MCAP),The BitcoinGrowthFund is launching an ERC20 token that represents profits from a cryptocurrency mining fund.,27-Apr-17,17-May-17,--
Viva Coin (VIVA),"A currency ecosystem aimed at creating tools for money transfer, identity and document authentication, and trading.",01-May-17,21-May-17,--
Ether for the Rest of the World (E4ROW),A firm dedicated to developing apps on Ethereum. Their first app is a one-on-one poker game.,02-May-17,22-May-17,--
MobileGo (MOBILEGO),"An addition to the GameCredits ecosystem, released on Ethereum. The tokens will enable smart contract based tournaments.",25-Apr-17,25-May-17,--
Storj (STORJ),decentralized cloud storage.,19-May-17,25-May-17,--
Metal (METAL),"A user-friendly currency transfer app, similar to Venmo, that rewards users for converting fiat to cryptocurrency.",26-May-17,26-May-17,--
Veritaseum (VER),Enables peer-to-peer capital markets where individuals and entities can deal directly with each other in transactions of value.,25-Apr-17,26-May-17,--
Mysterium Network(MYST),A decentralized VPN built using Ethereum contracts.,30-May-17,30-May-17,"$14,075,000 "
Suretly (SUR),A 'crowdvouching' platform which compensates users who vouch for people who need an urgent loan.,16-May-17,30-May-17,--
Basic Attention Token(BAT),Basic Attention Token will be the unit of exchange in a blockchain-based digital advertising platform built on top of the Brave Browser.,31-May-17,31-May-17,--
Exscudo (EON),A cryptocurrency exchange platform with social trading features and analytic tools.,25-Apr-17,31-May-17,--
Adel (ADL),A distributed autonomous organization (DAO) that invests in new blockchain projects–similar to The DAO.,01-May-17,01-Jun-17,--
Embermine (EMB),Embermine is a platform designed to give content creators the means to protect and control their creative endeavors.,05-May-17,02-Jun-17,--
Patientory (PTOY),An Ethereum dapp for managing and transferring medical information. Patientory wants to foster a closer relationship between doctor and patient through tools inspired by social media.,31-May-17,03-Jun-17,"$7,252,177 "
Cofound.it (CFI),"A platform that connects startups, experts and investors.",04-Jun-17,06-Jun-17,--
VOISE (VSM),VOISE is a decentralized platform for music where artists receive 100% of the revenue earned from their content.,06-May-17,06-Jun-17,--
Aeternity (XAE),"Second public offering for Aeternity, a smart contract platform with state chains and a native oracle machine.",29-May-17,09-Jun-17,--
Zrcoin (ZRC),"A Waves Platform meta-token backed by the production of cubic zirconium, a valuable industrial commodity.",11-May-17,09-Jun-17,--
Aira (AIR),AIRA (Autonomous Intelligent Robot Agent) is a protocol for human-bot and bot-bot communication on the Ethereum blockchain.,25-May-17,11-Jun-17,--
Bancor Protocol (BANCOR),Ethereum-based token conversion protocol that uses reserve tokens to support trading liquidity and to back the creation of new tokens. Exact sale dates TBA.,12-Jun-17,12-Jun-17,"$153,000,000 "
Minexcoin (MNC),A crypto payment system with a native low volatility cryptocurrency.,15-May-17,13-Jun-17,--
